Superficie,Rooms,Bedrooms,Price,Location,description,Loc_Paris,m2,building_floor,apartment_floor,nb_bath,Cellar,balc_patio,Heating,Renovated,Parking,Heating_Central,Heating_Individual
33m²,1 p.,0 p.,328 600 ,Paris 19 (75019)|Secrétan - Jaurès...,"Ref de l'annonce
:Grand Studio
Parking
Etage du bien
:1er
Nombre d'étages du bâtiment
:14
Ascenseur
Nombre de salle de bain
:1",75019,33,14,1er,1,0,0,Unknown,0,1,0,0
122m²,5 p.,4 p.,1 940 000 ,"Paris 04 (75004)
Paris 4ème","Ref de l'annonce
:158
Parking
Terrasse/Balcon
:Terrasse
Etage du bien
:2e
Nombre d'étages du bâtiment
:4
Cave
Ascenseur
Accès handicapé
Nombre de salle de bain
:1",75004,122,4,2e,1,1,Terrasse,Unknown,0,1,0,0
68m²,4 p.,3 p.,830 000 ,"Paris 10 (75010)
Paris 10ème","Ref de l'annonce
:2679339
Terrasse/Balcon
:Terrasse
Nombre d'étages du bâtiment
:3
Nombre de salle de bain
:1",75010,68,3,1er,1,0,Terrasse,Unknown,0,0,0,0
36m²,2 p.,1 p.,524 000 ,"Paris 18 (75018)
Abbesses","Ref de l'annonce
:0555
Etage du bien
:2e
Cave
Nombre de salle de bain
:1",75018,36,5,2e,1,1,0,Unknown,0,0,0,0
32m²,1 p.,0 p.,375 000 ,"Paris 15 (75015)
Paris 15ème","Ref de l'annonce
:162373805
Chauffage
:Au gaz
Etage du bien
:8e
Nombre d'étages du bâtiment
:9
Cave
Ascenseur",75015,32,9,8e,0,1,0,Au gaz,0,0,0,0
67m²,3 p.,2 p.,745 000 ,"Paris 11 (75011)
Paris 11ème","Ref de l'annonce
:1513
Chauffage
:Individuel, au gaz
Etage du bien
:5e
Nombre d'étages du bâtiment
:6
Cave
Nombre de salle de bain
:1",75011,67,6,5e,1,1,0,"Individuel, au gaz",0,0,0,1
18m²,1 p.,0 p.,199 000 ,"Paris 11 (75011)
Paris 11ème","Ref de l'annonce
:1515
Nombre d'étages du bâtiment
:6",75011,18,6,2e,0,0,0,Unknown,0,0,0,0
29m²,1 p.,0 p.,346 500 ,"Paris 20 (75020)
Alexandre Dumas","Ref de l'annonce
:0147
Parking
Etage du bien
:4e
Nombre d'étages du bâtiment
:5
Ascenseur
Accès handicapé",75020,29,5,4e,0,0,0,Unknown,0,1,0,0
63m²,3 p.,2 p.,787 500 ,"Paris 15 (75015)
Paris 15ème","Ref de l'annonce
:75401
Etage du bien
:2e
Nombre d'étages du bâtiment
:6
Cave
Ascenseur
Nombre de salle de bain
:1",75015,63,6,2e,1,1,0,Unknown,0,0,0,0
28m²,1 p.,0 p.,355 000 ,"Paris 15 (75015)
Paris 15ème","Ref de l'annonce
:75177
Rénové
Chauffage
:électrique
Etage du bien
:1er
Nombre d'étages du bâtiment
:6",75015,28,6,1er,0,0,0,électrique,1,0,0,0
129m²,6 p.,3 p.,1 650 000 ,"Paris 17 (75017)
Paris 17ème","Ref de l'annonce
:207
Chauffage
:Individuel
Etage du bien
:1er
Nombre d'étages du bâtiment
:3
Cave
Nombre de salle de bain
:1",75017,129,3,1er,1,1,0,Individuel,0,0,0,1
53m²,2 p.,1 p.,598 000 ,"Paris 16 (75016)
Paris","Ref de l'annonce
:vlx16_paris
Rénové
Chauffage
:Central
Etage du bien
:6e
Nombre d'étages du bâtiment
:7
Cave
Ascenseur
Accès handicapé
Nombre de salle de bain
:1",75016,53,7,6e,1,1,0,Central,1,0,1,0
87m²,4 p.,2 p.,999 000 ,"Paris 17 (75017)
Paris 17ème","Ref de l'annonce
:VA2148-INNOVEIMMO
Chauffage
:Central
Etage du bien
:1er
Nombre d'étages du bâtiment
:5
Cave
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",75017,87,5,1er,1,1,0,Central,0,0,1,0
33m²,1 p.,0 p.,475 000 ,"Paris 02 (75002)
Métro 4 septembre","Ref de l'annonce
:455
Terrasse/Balcon
:Terrasse
Nombre d'étages du bâtiment
:6
Nombre de salle de bain
:1",75002,33,6,1er,1,0,Terrasse,Unknown,0,0,0,0
189m²,6 p.,4 p.,2 490 000 ,"Paris 08 (75008)
Paris 8ème","Ref de l'annonce
:LKM29571
Chauffage
:Au gaz
Parking
Terrasse/Balcon
:Balcon
Etage du bien
:2e
Nombre d'étages du bâtiment
:4
Cave
Nombre de salle de bain
:1",75008,189,4,2e,1,1,Balcon,Au gaz,0,1,0,0
