Superficie,Rooms,Bedrooms,Price,Location,description,Loc_Paris,m2,nb_rooms,nb_bedrooms,building_floor,apartment_floor,nb_bath,Cellar,balc_patio,Heating,Renovated,Parking,SalePrice,building_height,Ground_floor,Heating_Central,Heating_Individual,Last_floor,district
33m²,1 p.,-1,328 600 €,Paris 19 (75019)|Secrétan - Jaurès...,"Ref de l'annonce
:Grand Studio
Parking
Etage du bien
:1er
Nombre d'étages du bâtiment
:14
Ascenseur
Nombre de salle de bain
:1",19,33,1,0,14,1,1,0,0,Unknown,0,1,328600,Tower,0,0,0,0,19e
122m²,5 p.,4,1 940 000 €,"Paris 04 (75004)
Paris 4ème","Ref de l'annonce
:158
Parking
Terrasse/Balcon
:Terrasse
Etage du bien
:2e
Nombre d'étages du bâtiment
:4
Cave
Ascenseur
Accès handicapé
Nombre de salle de bain
:1",4,122,5,4,4,2,1,1,Terrasse,Unknown,0,1,1940000,Average,0,0,0,0,4e
68m²,4 p.,3,830 000 €,"Paris 10 (75010)
Paris 10ème","Ref de l'annonce
:2679339
Terrasse/Balcon
:Terrasse
Nombre d'étages du bâtiment
:3
Nombre de salle de bain
:1",10,68,4,3,3,0,1,0,Terrasse,Unknown,0,0,830000,Small,1,0,0,0,10e
36m²,2 p.,1,524 000 €,"Paris 18 (75018)
Abbesses","Ref de l'annonce
:0555
Etage du bien
:2e
Cave
Nombre de salle de bain
:1",18,36,2,1,0,2,1,1,0,Unknown,0,0,524000,Average,0,0,0,0,18e
32m²,1 p.,-1,375 000 €,"Paris 15 (75015)
Paris 15ème","Ref de l'annonce
:162373805
Chauffage
:Au gaz
Etage du bien
:8e
Nombre d'étages du bâtiment
:9
Cave
Ascenseur",15,32,1,0,9,8,0,1,0,Au gaz,0,0,375000,Average,0,0,0,0,15e
67m²,3 p.,2,745 000 €,"Paris 11 (75011)
Paris 11ème","Ref de l'annonce
:1513
Chauffage
:Individuel, au gaz
Etage du bien
:5e
Nombre d'étages du bâtiment
:6
Cave
Nombre de salle de bain
:1",11,67,3,2,6,5,1,1,0,"Individuel, au gaz",0,0,745000,Average,0,0,1,0,11e
18m²,1 p.,-1,199 000 €,"Paris 11 (75011)
Paris 11ème","Ref de l'annonce
:1515
Nombre d'étages du bâtiment
:6",11,18,1,0,6,0,0,0,0,Unknown,0,0,199000,Average,1,0,0,0,11e
29m²,1 p.,-1,346 500 €,"Paris 20 (75020)
Alexandre Dumas","Ref de l'annonce
:0147
Parking
Etage du bien
:4e
Nombre d'étages du bâtiment
:5
Ascenseur
Accès handicapé",20,29,1,0,5,4,0,0,0,Unknown,0,1,346500,Average,0,0,0,0,20e
63m²,3 p.,2,787 500 €,"Paris 15 (75015)
Paris 15ème","Ref de l'annonce
:75401
Etage du bien
:2e
Nombre d'étages du bâtiment
:6
Cave
Ascenseur
Nombre de salle de bain
:1",15,63,3,2,6,2,1,1,0,Unknown,0,0,787500,Average,0,0,0,0,15e
28m²,1 p.,-1,355 000 €,"Paris 15 (75015)
Paris 15ème","Ref de l'annonce
:75177
Rénové
Chauffage
:électrique
Etage du bien
:1er
Nombre d'étages du bâtiment
:6",15,28,1,0,6,1,0,0,0,électrique,1,0,355000,Average,0,0,0,0,15e
129m²,6 p.,3,1 650 000 €,"Paris 17 (75017)
Paris 17ème","Ref de l'annonce
:207
Chauffage
:Individuel
Etage du bien
:1er
Nombre d'étages du bâtiment
:3
Cave
Nombre de salle de bain
:1",17,129,6,3,3,1,1,1,0,Individuel,0,0,1650000,Small,0,0,1,0,17e
53m²,2 p.,1,598 000 €,"Paris 16 (75016)
Paris","Ref de l'annonce
:vlx16_paris
Rénové
Chauffage
:Central
Etage du bien
:6e
Nombre d'étages du bâtiment
:7
Cave
Ascenseur
Accès handicapé
Nombre de salle de bain
:1",16,53,2,1,7,6,1,1,0,Central,1,0,598000,Average,0,1,0,0,16e
87m²,4 p.,2,999 000 €,"Paris 17 (75017)
Paris 17ème","Ref de l'annonce
:VA2148-INNOVEIMMO
Chauffage
:Central
Etage du bien
:1er
Nombre d'étages du bâtiment
:5
Cave
Ascenseur
Sécurité
:Gardien
Nombre de salle de bain
:1",17,87,4,2,5,1,1,1,0,Central,0,0,999000,Average,0,1,0,0,17e
33m²,1 p.,-1,475 000 €,"Paris 02 (75002)
Métro 4 septembre","Ref de l'annonce
:455
Terrasse/Balcon
:Terrasse
Nombre d'étages du bâtiment
:6
Nombre de salle de bain
:1",2,33,1,0,6,0,1,0,Terrasse,Unknown,0,0,475000,Average,1,0,0,0,2e
189m²,6 p.,4,2 490 000 €,"Paris 08 (75008)
Paris 8ème","Ref de l'annonce
:LKM29571
Chauffage
:Au gaz
Parking
Terrasse/Balcon
:Balcon
Etage du bien
:2e
Nombre d'étages du bâtiment
:4
Cave
Nombre de salle de bain
:1",8,189,6,4,4,2,1,1,Balcon,Au gaz,0,1,2490000,Average,0,0,0,0,8e
